"itag";"type";"container";"mimetype";"acodec";"asr";"vcodec";"width";"height";"max fps";"avgbitrate";"label";"note"
5;"audio+video";"flv";;"mp3";;"h263";400;240;;64000;;
6;"audio+video";"flv";;"mp3";;"h263";450;270;;64000;;
13;"audio+video";"3gp";;"aac";;"mp4v";;;;;;
17;"audio+video";"3gp";;"aac";;"mp4v";176;144;;24000;;
18;"audio+video";"mp4";;"aac";;"h264";640;360;;96000;;
22;"audio+video";"mp4";;"aac";;"h264";1280;720;;192000;;
34;"audio+video";"flv";;"aac";;"h264";640;360;;128000;;
35;"audio+video";"flv";;"aac";;"h264";854;480;;128000;;
36;"audio+video";"3gp";;"aac";;"mp4v";320;;;;;
37;"audio+video";"mp4";;"aac";;"h264";1920;1080;;192000;;
38;"audio+video";"mp4";;"aac";;"h264";4096;3072;;192000;;
43;"audio+video";"webm";;"vorbis";;"vp8";640;360;;128000;;
44;"audio+video";"webm";;"vorbis";;"vp8";854;480;;128000;;
45;"audio+video";"webm";;"vorbis";;"vp8";1280;720;;192000;;
46;"audio+video";"webm";;"vorbis";;"vp8";1920;1080;;192000;;
59;"audio+video";"mp4";;"aac";;"h264";854;480;;128000;;
78;"audio+video";"mp4";;"aac";;"h264";854;480;;128000;;
82;"audio+video";"mp4";;"aac";;"h264";;360;;128000;"3D";"3D"
83;"audio+video";"mp4";;"aac";;"h264";;480;;128000;"3D";"3D"
84;"audio+video";"mp4";;"aac";;"h264";;720;;192000;"3D";"3D"
85;"audio+video";"mp4";;"aac";;"h264";;1080;;192000;"3D";"3D"
100;"audio+video";"webm";;"vorbis";;"vp8";;360;;128000;"3D";"3D"
101;"audio+video";"webm";;"vorbis";;"vp8";;480;;192000;"3D";"3D"
102;"audio+video";"webm";;"vorbis";;"vp8";;720;;192000;"3D";"3D"
133;"video";"mp4";"video/mp4";;;"avc1";426;240;30;59000;"240p";"DASH 240p (avc1)"
134;"video";"mp4";"video/mp4";;;"avc1";640;360;30;107000;"360p";"DASH 360p (avc1)"
135;"video";"mp4";"video/mp4";;;"avc1";854;480;30;158000;"480p";"DASH 480p (avc1)"
136;"video";"mp4";"video/mp4";;;"avc1";1280;720;30;298000;"720p";"DASH 720p (avc1)"
137;"video";"mp4";"video/mp4";;;"avc1";1920;1080;30;1317000;"1080p";"DASH 1080p (avc1)"
139;"audio";"mp4";"audio/mp4";"mp4a.40.5";22050;;;;;48000;"Low";"AUDIO_QUALITY_LOW"
140;"audio";"mp4";"audio/mp4";"mp4a.40.2";44100;;;;;128000;"Medium";"AUDIO_QUALITY_MEDIUM"
229;"video";"m3u8";"application/x-mpegURL";;;"avc1";426;240;30;;"240p";"HLS video (h264)"
230;"video";"m3u8";"application/x-mpegURL";;;"avc1";640;360;30;;"360p";"HLS video (h264)"
231;"video";"m3u8";"application/x-mpegURL";;;"avc1";854;480;30;;"480p";"HLS video (h264)"
232;"video";"m3u8";"application/x-mpegURL";;;"avc1";1280;720;30;;"720p";"HLS video (h264)"
233;"audio";"m3u8";"application/x-mpegURL";"mp4a.40.5";;;;;;64000;"low";"HLS Audio (HE-AAC)"
234;"audio";"m3u8";"application/x-mpegURL";"mp4a.40.2";;;;;;144000;"medium";"HLS Audio (AAC LC)"
242;"video";"webm";"video/webm";;;"vp9";426;240;30;89000;"240p";"DASH 240p (vp9)"
243;"video";"webm";"video/webm";;;"vp9";640;360;30;156000;"360p";"DASH 360p (vp9)"
244;"video";"webm";"video/webm";;;"vp9";854;480;30;225000;"480p";"DASH 480p (vp9)"
247;"video";"webm";"video/webm";;;"vp9";1280;720;30;366000;"720p";"DASH 720p (vp9)"
248;"video";"webm";"video/webm";;;"vp9";1920;1080;30;1254000;"1080p";"DASH 1080p (vp9)"
249;"audio";"webm";"audio/webm";"opus";48000;;;;;51000;"Low";"AUDIO_QUALITY_LOW"
250;"audio";"webm";"audio/webm";"opus";48000;;;;;58000;"Low";"AUDIO_QUALITY_LOW"
251;"audio";"webm";"audio/webm";"opus";48000;;;;;105000;"medium";"AUDIO_QUALITY_MEDIUM"
269;"video";"m3u8";"application/x-mpegURL";;;"avc1";256;144;15;;"144p";"HLS video (h264)"
311;"video";"m3u8";"application/x-mpegURL";;;"avc1";1280;720;60;;"720p60";"HLS video (h264)"
312;"video";"m3u8";"application/x-mpegURL";;;"avc1";1920;1080;60;;"1080p60";"HLS video (h264)"
394;"video";"mp4";"video/mp4";;;"av01";256;144;30;58000;"144p";"DASH 144p (av1)"
395;"video";"mp4";"video/mp4";;;"av01";426;240;30;99000;"240p";"DASH 240p (av1)"
396;"video";"mp4";"video/mp4";;;"av01";640;360;30;183000;"360p";"DASH 360p (av1)"
397;"video";"mp4";"video/mp4";;;"av01";854;480;30;313000;"480p";"DASH 480p (av1)"
398;"video";"mp4";"video/mp4";;;"av01";1280;720;30;602000;"720p";"DASH 720p (av1)"
399;"video";"mp4";"video/mp4";;;"av01";1920;1080;30;1090000;"1080p";"DASH 1080p (av1)"
